Comuna;Link;Tipo_Vivienda;N_Habitaciones;N_Baños;N_Estacionamientos;Total_Superficie_M2;Superficie_Construida_M2; Valor_UF ;Valor_CLP;Dirección;Quién_Vende;Corredor
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/queilen/3000455;Casa;5;6;3;5000;440;12.200;351360000;Calera de Tango, Queilen;Gabriela Mellado V.;Zenpro Propiedades
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/queilen/2246315;Casa;6;6;6;5000;430;13.000;374400000;Calera de Tango, Queilen;Gabriela Mellado V.;Zenpro Propiedades
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/avenida-calera-de-tango-condominiosanta-teresa-de-tango-el-barrancon/3429380;Casa;3;3;No;2027;140;10.300;296640000;Calera de Tango, Avenida calera de tango   condominio/santa teresa de tango - el barrancon;Alonso Baeza Rivera y Cía. Ltda. (Kennedy);Alonso Baeza Rivera y Cía. Ltda. (Kennedy)
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/paradero-14-125-kilometros-cruce-calera-de-tango/3384071;Casa;8;6;No;5000;480;21.500;619200000;Calera de Tango, Paradero 14 1/2/5 kilometros cruce calera de tango;RED Gestión Propiedades;Red Gestión Propiedades
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-el-trebol-de-calera-de-tango/3639010;Casa;3;2;3;5000;196;9.100;262080000;Calera de Tango, Condominio El Trébol de Calera de Tango;Gabriela Mellado V.;Zenpro Propiedades
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/lonquen-surcalera-de-tango/3557811;Casa;3;2;No;5000;170;11.800;339840000;Calera de Tango, Lonquen Sur/Calera de Tango;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/graciela-letelier-de-ibanez-n-29-camino-lonquen-a-7-km-de-mall-plaza-oeste/3716413;Casa;3;2;4;2600;140;9.850;283680000;Calera de Tango, Graciela Letelier de Ibañez N 29, camino lonquen. A 7 km de mall plaza oeste;María Teresa Olea González;Vende Dueño/a
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/camino-loretocondominio-santa-cruz-de-loreto/2898688;Casa;5;4;No;5000;650;14.450;416160000;Calera de Tango, Camino loreto/condominio santa cruz de loreto;Pro Partners Propiedades;Pro Partners Propiedades
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/lonquencalera-de-tango/2897936;Casa;5;3;No;5000;404;16.500;475200000;Calera de Tango, Lonquen/Calera de tango;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-los-almendros-suravda-calera-de-tango-cv/2832877;Casa;6;4;No;5015;440;16.650;479520000;Calera de Tango, Condominio Los Almendros Sur/Avda Calera de Tango CV;Cristian Vial Propiedades;Cristian Vial Propiedades
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-la-virgenfrente-a-restaurante-kugenhouse/3372229;Casa;7;5;No;5000;300;15.000;432000000;Calera de Tango, Condominio la virgen/frente a restaurante kugenhouse;RED Gestión Propiedades;Red Gestión Propiedades
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/graciela-letelier/3604262;Casa;6;5;2;5000;250;25.000;720000000;Calera de Tango, Graciela Letelier;Johanna Rojas Gestion Inmobiliaria;Johanna Rojas
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/calera-de-tango/3641076;Casa;3;1;2;300;50;2.848;82022400;Calera de Tango, Calera de Tango;Maria Gabriela Saavedra;V & S Asesorias & Gestion Inmobiliaria
Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/parcela-de-5000-m2-con-casa-en-ex-colonia-el-trebol-calera-de-tango/3575165;Casa;3;2;No;5000;443;11.110;320000000;Calera de Tango, Parcela de 5.000 m2 con casa en ex Colonia El Trébol. Calera de Tango;Corretajes Prosal Ltda.;Corretajes Prosal
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/don-orione/2653154;Casa;3;2;2;109;80;3.194;92000000;Cerrillos, Don orione;Juan Carlos Palma;Vitahome Propiedades
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/fernandez-albano/2398392;Casa;4;3;2;260;142;5.277;152000001;Cerrillos, Fernandez Albano;Reyes Propiedades;Reyes Propiedades
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/ongolmo/3550011;Casa;3;1;1;150;80;3.090;89000000;Cerrillos, Ongolmo;Cristián Espinoza F;Tzanis Propiedades
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/los-jazmines-274/3615388;Casa;5;2;2;276;83;4.687;135000000;Cerrillos, Los Jazmines 274;Carolina Vasquez Zuñiga;Vende Dueño/a
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/general-jose-bernales-ramirez/3638910;Casa;4;2;;134;149;3.646;105000000;Cerrillos, General José Bernales Ramírez;Work Inmobiliario;Vende Dueño/a
Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos/3726822;Casa;4;2;1;320;120;4.791;138000000;Cerrillos, Cerrillos;Patricia Navarro;Enfoque Propiedades
